D2;ActionState;timeScale;Frame;Time
D2;PREDRIVE;1;227;1.974563
D2;PREDRIVE;1;228;1.982915
D2;PREDRIVE;1;229;1.991029
D2;PREDRIVE;1;230;1.999262
D2;PREDRIVE;1;231;2.007868
D2;PREDRIVE;1;232;2.015844
D2;PREDRIVE;1;233;2.023962
D2;PREDRIVE;1;234;2.032195
D2;PREDRIVE;1;235;2.040767
D2;PREDRIVE;1;236;2.048661
D2;PREDRIVE;1;237;2.056895
D2;PREDRIVE;1;238;2.065129
D2;PREDRIVE;1;239;2.073362
D2;PREDRIVE;1;240;2.081684
D2;PREDRIVE;1;241;2.08983
D2;PREDRIVE;1;242;2.098062
D2;PREDRIVE;1;243;2.106617
D2;PREDRIVE;1;244;2.114598
D2;PREDRIVE;1;245;2.122763
D2;PREDRIVE;1;246;2.131532
D2;PREDRIVE;1;247;2.139229
D2;PREDRIVE;1;248;2.147515
D2;PREDRIVE;1;249;2.156046
D2;PREDRIVE;1;250;2.164025
D2;PREDRIVE;1;251;2.172163
D2;PREDRIVE;1;252;2.180397
D2;PREDRIVE;1;253;2.188941
D2;PREDRIVE;1;254;2.196945
D2;PREDRIVE;1;255;2.205096
D2;PREDRIVE;1;256;2.21333
D2;PREDRIVE;1;257;2.221831
D2;PREDRIVE;1;258;2.229797
D2;PREDRIVE;1;259;2.238819
D2;PREDRIVE;1;260;2.246263
D2;PREDRIVE;1;261;2.254795
D2;PREDRIVE;1;262;2.26273
D2;PREDRIVE;1;263;2.270963
D2;PREDRIVE;1;264;2.279693
D2;PREDRIVE;1;265;2.287678
D2;PREDRIVE;1;266;2.295663
D2;PREDRIVE;1;267;2.303897
D2;PREDRIVE;1;268;2.31213
D2;PREDRIVE;1;269;2.320589
D2;PREDRIVE;1;270;2.328597
D2;PREDRIVE;1;271;2.336829
D2;PREDRIVE;1;272;2.345063
D2;PREDRIVE;1;273;2.353297
D2;PREDRIVE;1;274;2.361529
D2;PREDRIVE;1;275;2.370054
D2;PREDRIVE;1;276;2.378083
D2;PREDRIVE;1;277;2.38623
D2;PREDRIVE;1;278;2.394994
D2;PREDRIVE;1;279;2.402935
D2;PREDRIVE;1;280;2.41093
D2;PREDRIVE;1;281;2.419163
D2;PREDRIVE;1;282;2.427936
D2;PREDRIVE;1;283;2.43563
D2;PREDRIVE;1;284;2.443863
D2;PREDRIVE;1;285;2.452163
